nazwa;typ;gmina;powiat;woj;teryt
Atalin;wieś;Zwoleń;zwoleński;mazowieckie;642796
Atanazyn;wieś;Szamocin;chodzieski;wielkopolskie;529522
Ateny;wieś;Nowinka;augustowski;podlaskie;762804
Audyniszki;wieś;Banie Mazurskie;gołdapski;warmińsko-mazurskie;753969
Augamy;wieś;Górowo Iławeckie;bartoszycki;warmińsko-mazurskie;473916
Augustopol;wieś;Dąbrowice;kutnowski;łódzkie;562850
Augustowo;wieś;Dobrcz;bydgoski;kujawsko-pomorskie;84451
Augustowo;wieś;Barcin;żniński;kujawsko-pomorskie;79349
Augustowo;wieś;Strzegowo;mławski;mazowieckie;126474
Augustowo;wieś;Długosiodło;wyszkowski;mazowieckie;509181
Augustowo;wieś;Bielsk Podlaski;bielski;podlaskie;23248
Augustowo;wieś;Wielichowo;grodziski;wielkopolskie;597469
